Дата публикации,Тип публикации,Публикация,Ссылка на публикацию,Дочитывания и просмотры,Показы,Открытия,Время просмотра в минутах,Комментарии,Подписки,Лайки,Стеллы,Суммарный доход,За время просмотра,Прочее,CTR,CR,ER,RPM,year_month,weekday,hour,month,CTR_clean,CR_clean,ER_clean,category,has_top_club,primary_club,is_transfer_window,title_length,title_words,has_slash,has_rumor,has_number,log_income,is_hit,days_since_start
2025-09-02 14:35:25.887,Статья,Спартак продает центрального защитника,https://dzen.ru/media/id/6358cb994fee997bedba5cec/68b6beeb75b77f7398a3fd44,3440,111772,5421,2085,7,13,40,0,104.81,103.77,0.0,0.0485005189135024,0.6345692676627929,0.0136627906976744,30.468023255813957,2025-09,1,14,9,0.0485005189135024,0.6345692676627929,0.0136627906976744,Другое,1,Спартак,0,38,4,0,0,0,4.66164503291607,0,293
2025-09-03 09:49:29.274,Статья,Ряд футболистов покинули РПЛ / Трансферы РПЛ,https://dzen.ru/media/id/6358cb994fee997bedba5cec/68b7011fa750802120908305,6224,133742,8152,3542,3,14,51,0,178.04999999999998,174.85,0.0,0.0609531785078733,0.7634936211972522,0.0086760925449871,28.60700514138817,2025-09,2,9,9,0.0609531785078733,0.7634936211972522,0.0086760925449871,Трансферы,0,Нет клуба,0,44,7,1,0,0,5.187665096444442,0,294
2025-09-03 18:08:54.867,Статья,В Сочи приехал защитник сборной Сербии / Ахмат подписал нападающего - Трансферы РПЛ,https://dzen.ru/media/id/6358cb994fee997bedba5cec/68b855349e7f3c091481e95f,1658,65559,2278,912,1,8,18,0,45.85,45.04,0.0,0.0347473268353696,0.7278314310798947,0.01145958986731,27.653799758745475,2025-09,2,18,9,0.0347473268353696,0.7278314310798947,0.01145958986731,Трансферы,0,Ахмат,0,83,13,1,0,0,3.846951008684431,0,294
2025-09-05 10:52:41.947,Статья,"Краснодар укрепляет защиту / Ахмат подписал ""десятку"" - Трансферы РПЛ",https://dzen.ru/media/id/6358cb994fee997bedba5cec/68ba93d2f942ae06189810e3,2717,95242,4166,1373,0,4,39,0,70.96,70.1,0.0,0.0437412066105289,0.6521843494959193,0.0143540669856459,26.11704085388296,2025-09,4,10,9,0.0437412066105289,0.6521843494959193,0.0143540669856459,Трансферы,0,Краснодар,0,69,10,1,0,0,4.2761104090823325,0,296
2025-09-07 09:08:18.521,Статья,Спартак нашел замену Дуарте / из ЦСКА ушел полузащитник - Трансферы РПЛ,https://dzen.ru/media/id/6358cb994fee997bedba5cec/68bcae4aaf9d6c7fe1a55822,9935,238805,15576,7763,11,22,116,0,420.12,415.11,0.0,0.0652247649756077,0.6378402670775553,0.0127830900855561,42.286864620030194,2025-09,6,9,9,0.0652247649756077,0.6378402670775553,0.0127830900855561,Трансферы,1,ЦСКА,0,71,12,1,0,0,6.042917828696898,0,298
2025-09-10 17:44:19.420,Статья,Спартак купил опытного защитника / Агапов уехал в аренду - Трансферы РПЛ,https://dzen.ru/media/id/6358cb994fee997bedba5cec/68c18de4dd8cb659b26542b9,3283,115181,5223,2249,3,9,38,0,114.66,113.55,0.0,0.0453460206110382,0.6285659582615355,0.0124885775205604,34.92537313432835,2025-09,2,17,9,0.0453460206110382,0.6285659582615355,0.0124885775205604,Трансферы,1,Спартак,0,72,12,1,0,0,4.750654852730072,0,301
2025-09-12 15:24:29.013,Статья,"Игроки, которые покинули РПЛ в последние дни трансферного окна - Трансферы РПЛ",https://dzen.ru/media/id/6358cb994fee997bedba5cec/68c40e75d99d823f51623f2a,10323,153259,11211,7937,2,21,68,0,413.96,399.01,0.0,0.0731506795685734,0.9207920792079208,0.00678097452291,40.10074590719752,2025-09,4,15,9,0.0731506795685734,0.9207920792079208,0.00678097452291,Трансферы,0,Нет клуба,0,78,12,0,0,0,6.028182130043144,0,303
2025-09-15 22:51:46.118,Статья,Камано вернулся в РПЛ / Осинькин подтягивает свои игроков - Трансферы РПЛ,https://dzen.ru/media/id/6358cb994fee997bedba5cec/68c86daf9c2ae93f7b3d8f57,4175,112218,5090,2992,0,7,37,0,159.24,156.9,0.0,0.0453581421875278,0.8202357563850687,0.0088622754491017,38.14131736526946,2025-09,0,22,9,0.0453581421875278,0.8202357563850687,0.0088622754491017,Трансферы,0,Нет клуба,0,73,12,1,0,0,5.076672691357563,0,307
2025-09-17 10:42:41.651,Статья,"Рубин укрепляет состав, даже после закрытыия трансферного окна - Трансферы РПЛ",https://dzen.ru/media/id/6358cb994fee997bedba5cec/68ca655454d1614dc23dc6ac,3464,112414,5020,2374,8,9,28,0,124.08,122.92,0.0,0.0446563595281726,0.6900398406374502,0.010392609699769,35.81986143187067,2025-09,2,10,9,0.0446563595281726,0.6900398406374502,0.010392609699769,Трансферы,0,Рубин,0,78,11,0,0,0,4.82895353258964,0,308
2025-09-18 08:00:31.012,Статья,Севикян вернулся в РПЛ / Новый опорник в Нижнем Новгороде - Трансферы РПЛ,https://dzen.ru/media/id/6358cb994fee997bedba5cec/68cad1c222a723238d6877b9,1488,74518,2102,1094,2,4,6,0,56.0,55.79,0.0,0.0282079497571056,0.7078972407231209,0.0053763440860215,37.634408602150536,2025-09,3,8,9,0.0282079497571056,0.7078972407231209,0.0053763440860215,Трансферы,0,Нет клуба,0,73,13,1,0,0,4.04305126783455,0,309
2025-09-19 09:01:38.536,Статья,Новые перспективные легионеры в РПЛ - Трансферы РПЛ,https://dzen.ru/media/id/6358cb994fee997bedba5cec/68cc1c946de220346f4edccc,1804,82296,2831,1158,1,3,29,0,58.33,58.0,0.0,0.0344002138621561,0.6372306605439774,0.0166297117516629,32.33370288248337,2025-09,4,9,9,0.0344002138621561,0.6372306605439774,0.0166297117516629,Трансферы,0,Нет клуба,0,51,8,0,0,0,4.083115080270552,0,310
2025-09-19 17:14:17.288,Статья,Станкович близок к увольнению,https://dzen.ru/media/id/6358cb994fee997bedba5cec/68cd63e06feca60ee0289c7a,4926,116526,8546,2887,15,12,42,0,145.26,144.5,0.0,0.0733398554828965,0.5764100163819331,0.0115712545676004,29.4884287454324,2025-09,4,17,9,0.0733398554828965,0.5764100163819331,0.0115712545676004,Другое,0,Нет клуба,0,29,4,0,0,0,4.985385859842805,0,310
2025-09-20 11:33:30.495,Статья,Омоложение состава - Кармо и Попович в ЦСКА / Трансферы РПЛ,https://dzen.ru/media/id/6358cb994fee997bedba5cec/68cd59c89091fc28b6b3cc95,2013,98500,2866,1336,2,10,41,0,67.31,66.8,0.0,0.0290964467005076,0.7023726448011165,0.0213611525086934,33.43765524093393,2025-09,5,11,9,0.0290964467005076,0.7023726448011165,0.0213611525086934,Трансферы,1,ЦСКА,0,59,11,1,0,0,4.224056168743758,0,311
