Дата публикации,Тип публикации,Публикация,Ссылка на публикацию,Дочитывания и просмотры,Показы,Открытия,Время просмотра в минутах,Комментарии,Подписки,Лайки,Стеллы,Суммарный доход,За время просмотра,Прочее,CTR,CR,ER,RPM,year_month,weekday,hour,month,CTR_clean,CR_clean,ER_clean
2026-08-16 03:14:49.590,Статья,Тикнизян сменил команду в Европе / Зенит покинули два защитника - Трансферы РПЛ,https://dzen.ru/media/id/6358cb994fee997bedba5cec/6a80f6fdf4a51b1a321e5e3f,31334,283022,40395,16589,30,77,139,0,810.4699999999999,808.16,0.0,0.14272742048321332,0.7756900606510707,0.005393502265909236,25.865513499712772,2026-08,Sunday,3,8,0.14272742048321332,0.7756900606510707,0.005393502265909236
2026-08-14 15:27:36.394,Статья,Батраков хочет в Турцию / Мостовой может покинуть Зенит - Трансферы и новости РПЛ,https://dzen.ru/media/id/6358cb994fee997bedba5cec/6a7efdbd38aa335ffa48079c,893,8292,1109,249,3,2,8,0,12.16,12.08,0.0,0.13374336710082008,0.8052299368800722,0.012318029115341545,13.617021276595745,2026-08,Friday,15,8,0.13374336710082008,0.8052299368800722,0.012318029115341545
2026-08-13 13:45:38.241,Статья,Главные кандидаты на усиление в атаку Спартака,https://dzen.ru/media/id/6358cb994fee997bedba5cec/6a7d9311d73a9764e5365400,30855,382258,45563,25036,63,113,198,0,1223.15,1214.02,0.0,0.11919436610875378,0.677194214603955,0.008458920758386,39.64187327823692,2026-08,Thursday,13,8,0.11919436610875378,0.677194214603955,0.008458920758386
2026-08-12 11:27:21.612,Статья,Главная проблема Спартака будет решена? Дркушич покидает Зенит - Трансферы РПЛ,https://dzen.ru/media/id/6358cb994fee997bedba5cec/6a7c253a029aa7747a8e7004,23773,80261,28492,8014,43,54,137,0,391.53999999999996,389.9,0.0,0.35499183912485516,0.8343745612803594,0.007571614857190931,16.46994489546965,2026-08,Wednesday,11,8,0.35499183912485516,0.8343745612803594,0.007571614857190931
2026-08-11 17:09:07.202,Статья,Маухуб ушел из Динамо / Еще один россиянин в Европе - Трансферы РПЛ,https://dzen.ru/media/id/6358cb994fee997bedba5cec/6a7add53dc95d4425fe0f016,11228,134146,16187,5936,17,27,41,0,290.01,289.77,0.0,0.12066703442517854,0.6936430468894792,0.005165657285358034,25.829177057356606,2026-08,Tuesday,17,8,0.12066703442517854,0.6936430468894792,0.005165657285358034
2026-08-10 14:07:33.081,Статья,Луис Энрике может покинуть Зенит / Защитник в Факеле - Трансферы РПЛ,https://dzen.ru/media/id/6358cb994fee997bedba5cec/6a75966a8e808e0adf1d360a,6196,80288,8690,3772,8,18,31,0,184.25,183.91,0.0,0.10823535273017139,0.7130034522439586,0.006294383473208522,29.73692704970949,2026-08,Monday,14,8,0.10823535273017139,0.7130034522439586,0.006294383473208522
2026-08-05 12:26:32.056,Статья,Батраков может перейти в Галатасарай / Опорник Зенита перешел в Оренбург - Трансферы РПЛ,https://dzen.ru/media/id/6358cb994fee997bedba5cec/6a72f7033d8d350faa823e6e,762,33840,1222,495,8,4,11,0,24.19,24.17,0.0,0.03611111111111111,0.6235679214402619,0.024934383202099737,31.745406824146983,2026-08,Wednesday,12,8,0.03611111111111111,0.6235679214402619,0.024934383202099737
2026-08-04 14:16:50.408,Статья,Леонид Слуцкий покинул Шанхай / ЦСКА вышел из переговоров по Жуану - Новости РПЛ,https://dzen.ru/media/id/6358cb994fee997bedba5cec/6a71c1937d5d8652f124351c,4656,103411,7295,2256,6,13,14,0,110.19,109.02,0.0,0.07054375259885312,0.638245373543523,0.00429553264604811,23.66623711340206,2026-08,Tuesday,14,8,0.07054375259885312,0.638245373543523,0.00429553264604811
2026-08-03 12:42:25.184,Статья,Ливай Гарсия нашел себе команду / Балтика купила французского защитника - Трансферы РПЛ,https://dzen.ru/media/id/6358cb994fee997bedba5cec/6a705996fad4763cdb231573,16720,157820,22174,10266,16,41,68,0,501.56,499.4,0.0,0.14050183753643392,0.7540362586813385,0.005023923444976076,29.997607655502392,2026-08,Monday,12,8,0.14050183753643392,0.7540362586813385,0.005023923444976076
2026-08-02 15:22:33.380,Статья,Даку переходит в Спартак / из Краснодара ушел вингер - Трансферы РПЛ,https://dzen.ru/media/id/6358cb994fee997bedba5cec/6a6ef30045104510f9e79f8a,17687,341246,23040,9170,28,57,86,0,447.97999999999996,446.39,0.0,0.06751727492776471,0.7676649305555555,0.006445411884434896,25.32820715779951,2026-08,Sunday,15,8,0.06751727492776471,0.7676649305555555,0.006445411884434896
2026-07-31 12:16:27.824,Статья,"ЦСКА нашел нападающего, а Зенит заменит опорника / Трансферы РПЛ",https://dzen.ru/media/id/6358cb994fee997bedba5cec/6a6c5ff4a52c4438aa79ed49,36252,332823,43645,28254,56,99,148,0,1380.3700000000001,1370.65,0.0,0.1311357688621279,0.8306106083171039,0.005627275736511089,38.077071609842214,2026-07,Friday,12,7,0.1311357688621279,0.8306106083171039,0.005627275736511089
2026-07-30 17:05:51.136,Статья,Спартак ищет нападающего,https://dzen.ru/media/id/6358cb994fee997bedba5cec/6a6b47178881aa29b39ebb5b,14000,198036,17339,11591,38,47,76,0,566.29,563.88,0.0,0.0875547880183401,0.8074283407347598,0.008142857142857143,40.44928571428571,2026-07,Thursday,17,7,0.0875547880183401,0.8074283407347598,0.008142857142857143
2026-07-28 12:42:57.977,Статья,В РПЛ новая схема покупки игроков,https://dzen.ru/media/id/6358cb994fee997bedba5cec/6a6876b4f3310a4744de564d,29262,285621,37287,16151,79,108,102,0,789.0799999999999,787.78,0.0,0.13054712363586712,0.7847775364067906,0.006185496548424578,26.966031030004782,2026-07,Tuesday,12,7,0.13054712363586712,0.7847775364067906,0.006185496548424578
2026-07-27 12:08:47.220,Статья,Лучший перфоманс первого тура РПЛ,https://dzen.ru/media/id/6358cb994fee997bedba5cec/6a671b3663038b47469a3218,197,5008,308,99,1,0,2,0,4.819999999999999,4.8,0.0,0.06150159744408946,0.6396103896103896,0.015228426395939087,24.467005076142126,2026-07,Monday,12,7,0.06150159744408946,0.6396103896103896,0.015228426395939087
